	Activated CD4 T cell	Activated dendritic cell	Central memory CD4 T cell	Type 1 T helper cell	Type 2 T helper cell
GSM5576800	0.328668707	0.46481175	0.703201158	0.28181477	0.017192014
GSM5576801	0.523305919	0.361548654	0.713555086	0.262479107	0.088435771
GSM5576802	0.417941729	0.47417793	0.704993088	0.271482794	0.053487105
GSM5576803	0.380154802	0.465973904	0.691280873	0.284612336	0.078729434
GSM5576804	0.424173858	0.451919024	0.720764708	0.280531926	0.015554942
GSM5576805	0.395766355	0.487750453	0.699564482	0.277035051	0.088685485
GSM5576806	0.404890156	0.46558929	0.711432185	0.298368829	0.033381856
GSM5576807	0.537494026	0.362369298	0.709581054	0.250581622	0.106118248
GSM5576808	0.418113424	0.427838284	0.720153478	0.284378596	0.060515838
GSM5576809	0.43975456	0.48677635	0.703437026	0.283663624	0.048787384
GSM5576810	0.407685997	0.344023497	0.655041849	0.256411049	-0.007640535
GSM5576812	0.560983898	0.351664001	0.575289067	0.239600646	0.073413488
GSM5576813	0.466579649	0.42594629	0.705553663	0.263755359	0.067845542
GSM5576814	0.419022001	0.446626159	0.706901523	0.278680559	0.024781806
GSM5576815	0.471988647	0.401997172	0.707908768	0.26234955	0.089335644
GSM5576816	0.463313014	0.506678288	0.703234788	0.283451244	0.035808418
GSM5576817	0.382087418	0.482119099	0.702406869	0.286231217	0.053785438
GSM5576818	0.358021983	0.463974347	0.674789529	0.293030686	0.05640546
GSM5576819	0.415392331	0.440193084	0.708002103	0.295673968	0.02588298
GSM5576820	0.410881988	0.430007035	0.711685574	0.27844468	0.048342929
GSM5576821	0.445076837	0.35098878	0.618986719	0.242550455	0.025899931
GSM5576822	0.410381651	0.424823951	0.717651593	0.288192595	0.040844371
GSM5576823	0.380063018	0.467401577	0.723699273	0.29068654	0.045352502
GSM5576824	0.387548959	0.477632383	0.68389038	0.276872152	0.057755564
GSM5576825	0.388811786	0.439419459	0.711676021	0.29185384	0.039025952
GSM5576826	0.378637046	0.454459729	0.714094756	0.299065075	0.001787952
GSM5576827	0.423183267	0.461840637	0.704445396	0.296221601	0.048048124
GSM5576828	0.416811422	0.456686766	0.692866091	0.297322131	0.031135306
GSM5576829	0.398090112	0.418487338	0.617782533	0.251364428	0.012620924
GSM5576830	0.391733685	0.470512796	0.681314679	0.281713586	0.024695169
GSM5576831	0.377501054	0.480228117	0.716484316	0.276321171	-0.010998435
